"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Verify that the system displays an error message when entering a password that does not meet minimum requirements.","chromium","Wed Dec 17 07:27:12 WAT 2025","skipped","Wed Dec 17 07:27:12 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","9426","Verify that the ""Download"" button is functional","chromium","Wed Dec 17 07:11:08 WAT 2025","failed","Wed Dec 17 07:11:18 WAT 2025","Dashboard Tests","dashboard.spec.js","",""
"","31200","Verify that the user is not granted access when logging in with an incorrect password.","chromium","Wed Dec 17 07:32:01 WAT 2025","broken","Wed Dec 17 07:32:32 WAT 2025","Login Tests","login.spec.js","",""
"","2745","Verify that an appropriate error message is displayed when attempting to create an account with an empty Media Outlet Name.","chromium","Wed Dec 17 07:27:19 WAT 2025","passed","Wed Dec 17 07:27:22 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","21191","Verify that the form does not submit when the email field is left empty.","chromium","Wed Dec 17 07:32:11 WAT 2025","passed","Wed Dec 17 07:32:32 WAT 2025","Login Tests","login.spec.js","",""
"","2","Verify that the 'Sign up' link navigates to the signup page.","chromium","Wed Dec 17 07:31:53 WAT 2025","skipped","Wed Dec 17 07:31:53 WAT 2025","Login Tests","login.spec.js","",""
"","11547","Verify that the user is not granted access when logging in with an invalid email.","chromium","Wed Dec 17 07:31:59 WAT 2025","passed","Wed Dec 17 07:32:11 WAT 2025","Login Tests","login.spec.js","",""
"","14664","Verify that the email input field accepts valid email formats.","chromium","Wed Dec 17 07:31:19 WAT 2025","passed","Wed Dec 17 07:31:34 WAT 2025","Login Tests","login.spec.js","",""
"","1","Verify that the system prompts the user to correct an invalid email format when submitting the form.","chromium","Wed Dec 17 07:27:12 WAT 2025","skipped","Wed Dec 17 07:27:12 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","1976","Verify that all form elements adjust properly on different screen sizes when resizing the browser window.","chromium","Wed Dec 17 07:27:16 WAT 2025","failed","Wed Dec 17 07:27:18 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","19684","Verify that the Log In link redirects the user to the login page when clicked.","chromium","Wed Dec 17 07:26:46 WAT 2025","passed","Wed Dec 17 07:27:05 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","1942","Verify that all form fields can be reached and filled using keyboard navigation without a mouse.","chromium","Wed Dec 17 07:27:23 WAT 2025","passed","Wed Dec 17 07:27:25 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","2808","Verify that placeholder text in each input field is displayed correctly when the fields are empty.","chromium","Wed Dec 17 07:27:09 WAT 2025","passed","Wed Dec 17 07:27:12 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","2663","Verify that password strength indicators update correctly as the user types a valid password meeting all criteria.","chromium","Wed Dec 17 07:27:09 WAT 2025","failed","Wed Dec 17 07:27:11 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","20426","Verify that the user can successfully create an account by filling in all required fields with valid data.","chromium","Wed Dec 17 07:26:46 WAT 2025","passed","Wed Dec 17 07:27:06 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","6930","Verify that clicking the 'Forgot password' link redirects the user to the correct password recovery page.","chromium","Wed Dec 17 07:31:52 WAT 2025","passed","Wed Dec 17 07:31:59 WAT 2025","Login Tests","login.spec.js","",""
"","13400","Verify that the 'Remember for 30 days' checkbox can be checked and unchecked.","chromium","Wed Dec 17 07:31:38 WAT 2025","passed","Wed Dec 17 07:31:52 WAT 2025","Login Tests","login.spec.js","",""
"","7615","Verify that the placeholder text in the email and password fields is visible and appropriately descriptive.","chromium","Wed Dec 17 07:31:53 WAT 2025","passed","Wed Dec 17 07:32:01 WAT 2025","Login Tests","login.spec.js","",""
"","10343","Verify that user can update their password with valid current password","chromium","Wed Dec 17 07:33:46 WAT 2025","failed","Wed Dec 17 07:33:57 WAT 2025","Security Settings","security.spec.js","",""
"","6042","Verify that the form is responsive and user-friendly when accessed from a mobile device.","chromium","Wed Dec 17 07:32:47 WAT 2025","failed","Wed Dec 17 07:32:53 WAT 2025","Login Tests","login.spec.js","",""
"","3374","Verify that a specific error message is shown when submitting the form with mismatched passwords.","chromium","Wed Dec 17 07:27:13 WAT 2025","passed","Wed Dec 17 07:27:16 WAT 2025","Sign Up Tests","signUp.spec.js","",""
"","17129","Verify that the password input field accepts a variety of valid passwords.","chromium","Wed Dec 17 07:31:36 WAT 2025","passed","Wed Dec 17 07:31:53 WAT 2025","Login Tests","login.spec.js","",""
"","17269","Verify that a user can successfully log in with valid email and password.","chromium","Wed Dec 17 07:31:19 WAT 2025","passed","Wed Dec 17 07:31:37 WAT 2025","Login Tests","login.spec.js","",""
"","10901","Verify that the form does not submit when the password field is left empty.","chromium","Wed Dec 17 07:32:32 WAT 2025","passed","Wed Dec 17 07:32:43 WAT 2025","Login Tests","login.spec.js","",""
